id giocatore;nome giocatore;cognome giocatore;squadra di provenienza;ruolo classic;ruolo mantra;data di nascita;nazionalita;stipendio lordo
5029;Geubbels;;Lecce;A;Pc;;;
2155;Cutrone;;Monza;A;Pc;;;
7612;Bobcek;;Frosinone;A;Pc;;;
4359;Piccoli;;Bologna;A;Pc;;Italia;2960000
6164;Vitinha O.;;Genoa;A;A;;;
6904;Yeboah J.;;Venezia;A;A;;Ecuador;1110000
7449;Rrahmani Al.;;Venezia;A;Pc;;;
7600;Osmajic;;Genoa;A;Pc;;;
5436;Raimondo;;Frosinone;A;Pc;;Italia;740000
6669;Bonny;;Inter;A;Pc;;"Cote d&#39;Ivoire";3700000
7252;Stulic;;Lecce;A;Pc;;Serbia;1110000
608;Zapata D.;;Torino;A;Pc;;Colombia;2780000
5918;Sulemana K.;;Atalanta;A;A;;Ghana;2960000
6598;Mutandwa;;Cagliari;A;Pc;;Zambia;280000
2832;Boga;;Juventus;A;W/A;;"Cote d&#39;Ivoire";4630000
6556;Noslin;;Lazio;A;A;;Paesi Bassi;2410000
7008;Gimenez;;Milan;A;Pc;;Messico;4630000
6831;Neres;;Napoli;A;W/A;;Brasile;5560000
4896;Maldini;;Cagliari;A;T/A;;Italia;2220000
6519;Camarda;;Milan;A;Pc;;Italia;1480000
5882;Mota;;Monza;A;A;;Portogallo;1110000
7523;Varela G.;;Monza;A;Pc;;;
7213;Frigan;;Parma;A;A;;Croazia;1200000
4387;Adorante;;Venezia;A;Pc;;Italia;740000
2012;Milik;;Juventus;A;Pc;;Polonia;2240000
7610;Birligea;;Frosinone;A;Pc;;;
6145;Ngonge;;Monza;A;A;;Belgio;1540000
6243;Borrelli;;Cagliari;A;Pc;;Italia;740000
7374;Mendy P.;;Cagliari;A;Pc;;;
6204;Kvernadze;;Frosinone;A;W/A;;Georgia;190000
7453;Havel;;Genoa;A;Pc;;;
7162;Giovane;;Napoli;A;A;;Brasile;2220000
7120;Lang;;Napoli;A;A;;Paesi Bassi;4630000
6215;Lucca;;Napoli;A;Pc;;Italia;3700000
7349;Kulenovic;;Torino;A;Pc;;Croazia;1850000
7272;Gueye;;Udinese;A;Pc;;;
7546;Robinson J.;;Monza;A;A;;;
7602;Fatah;;Lecce;A;W/A;;;
7128;Kuhn;;Como;A;W/A;;Germania;2040000
6822;Ekhator;;Juventus;A;A;;Italia;2410000
7001;N'Dri;;Lecce;A;W/A;;Niger;560000
7342;Elphege;;Parma;A;Pc;;Francia;460000
7561;Lontani;;Parma;A;A;;;
7317;Trepy;;Cagliari;A;Pc;;Francia;280000
7027;Azon;;Como;A;Pc;;Spagna;460000
6981;Vaz;;Roma;A;Pc;;Francia;2780000
7161;Bayo V.;;Udinese;A;Pc;;"Cote d&#39;Ivoire";930000
7408;Lisman;;Venezia;A;W/A;;;
7482;Lauberbach;;Venezia;A;Pc;;Germania;650000
7568;De Martis;;Parma;A;Pc;;;
